,cause,sex,type,res_mortality
0,0,0,test,1.6976277462099813e-06
1,0,0,train,2.888286854225684e-07
2,0,1,test,1.1702796810521183e-06
3,0,1,train,1.442668301918335e-07
4,1,0,test,1.0753976662171074e-06
5,1,0,train,3.376473133018313e-08
6,1,1,test,8.665711571996265e-08
7,1,1,train,1.0361376854434177e-08
8,2,0,test,1.3613900895337299e-07
9,2,0,train,2.1466828117000133e-08
10,2,1,test,3.0470701933693744e-07
11,2,1,train,6.2775369604314875e-09
12,3,0,test,8.202062580669836e-09
13,3,0,train,1.4333928182957811e-08
14,3,1,test,9.657221465049951e-09
15,3,1,train,7.205244969810717e-09
16,4,0,test,8.496787765721247e-08
17,4,0,train,1.5568925782567273e-08
18,4,1,test,1.5324256122868112e-08
19,4,1,train,2.616894673121053e-09
20,5,0,test,3.629262624247139e-06
21,5,0,train,1.1204805906480805e-07
22,5,1,test,1.7454239688390759e-06
23,5,1,train,3.099982847807075e-08
